epoch,step,train/loss,train/reward,val/reward
0,9,-0.534174382686615,-7.16787052154541,
0,19,-0.3882822096347809,-6.764706134796143,
0,29,-0.39250126481056213,-6.581515312194824,
0,39,-0.4896673262119293,-6.518557548522949,
0,49,-0.4195316731929779,-6.427213668823242,
0,59,-0.4292328357696533,-6.354611873626709,
0,69,-0.4318463206291199,-6.308204174041748,
0,79,-0.40945225954055786,-6.313538074493408,
0,89,-0.4295831322669983,-6.284938812255859,
0,97,,,-6.131984233856201
1,99,-0.41262343525886536,-6.2965989112854,
1,109,-0.4112107753753662,-6.245125770568848,
1,119,-0.3897562325000763,-6.20703125,
1,129,-0.41262486577033997,-6.2056684494018555,
1,139,-0.4040928781032562,-6.1906304359436035,
1,149,-0.40354156494140625,-6.209813594818115,
1,159,-0.36226141452789307,-6.135411739349365,
1,169,-0.370372474193573,-6.185222625732422,
1,179,-0.37797802686691284,-6.113298416137695,
1,189,-0.37646234035491943,-6.167532444000244,
1,195,,,-6.033414363861084
2,199,-0.368741512298584,-6.168509006500244,
2,209,-0.37014952301979065,-6.106935024261475,
2,219,-0.34870949387550354,-6.144961833953857,
2,229,-0.3365030288696289,-6.144070625305176,
2,239,-0.34634310007095337,-6.101430892944336,
2,249,-0.36120882630348206,-6.136442184448242,
2,259,-0.3208039402961731,-6.114526271820068,
2,269,-0.33120012283325195,-6.142302989959717,
2,279,-0.34206247329711914,-6.108120918273926,
2,289,-0.3374270796775818,-6.099773406982422,
2,293,,,-6.002260684967041
3,299,-0.3310127258300781,-6.077873229980469,
3,309,-0.3453482985496521,-6.079574108123779,
3,319,-0.32367804646492004,-6.0681657791137695,
3,329,-0.3324284851551056,-6.112240791320801,
3,339,-0.3230086863040924,-6.041120529174805,
3,349,-0.3447238802909851,-6.077877044677734,
3,359,-0.3296276330947876,-6.025318145751953,
3,369,-0.3267800807952881,-6.073834419250488,
3,379,-0.3221552073955536,-6.107725143432617,
3,389,-0.3271242380142212,-6.110450744628906,
3,391,,,-5.980086803436279
4,399,-0.3261723816394806,-6.093963146209717,
4,409,-0.30758756399154663,-6.069697380065918,
4,419,-0.324069082736969,-6.034814834594727,
4,429,-0.30546507239341736,-6.077071666717529,
4,439,-0.3234167993068695,-6.091436386108398,
4,449,-0.31854960322380066,-6.072376728057861,
4,459,-0.3172389566898346,-6.046616077423096,
4,469,-0.32466891407966614,-6.005940914154053,
4,479,-0.3037204444408417,-6.059555530548096,
4,489,-0.2881661057472229,-6.0455522537231445,
4,489,,,-5.965460300445557
5,499,-0.30493342876434326,-6.064857006072998,
5,509,-0.2782997786998749,-6.116095066070557,
5,519,-0.3036133050918579,-6.032562732696533,
5,529,-0.2966921627521515,-6.059186935424805,
5,539,-0.3016205430030823,-6.032627582550049,
5,549,-0.29735395312309265,-6.049720764160156,
5,559,-0.2914057970046997,-6.026777267456055,
5,569,-0.30875343084335327,-6.0779852867126465,
5,579,-0.2913340926170349,-5.995184421539307,
5,587,,,-5.942358016967773
6,589,-0.2906613051891327,-6.037759780883789,
6,599,-0.3038293719291687,-6.056694984436035,
6,609,-0.2852597236633301,-6.009082794189453,
6,619,-0.276344358921051,-6.090623378753662,
6,629,-0.28169918060302734,-5.997265815734863,
6,639,-0.289188951253891,-6.012019157409668,
6,649,-0.3017139732837677,-6.031845569610596,
6,659,-0.2934524714946747,-6.0713911056518555,
6,669,-0.2952948212623596,-6.0429887771606445,
6,679,-0.2983808219432831,-5.992501258850098,
6,685,,,-5.929257869720459
7,689,-0.30276036262512207,-6.015316963195801,
7,699,-0.3012174665927887,-6.003501892089844,
7,709,-0.29110175371170044,-6.055362224578857,
7,719,-0.29055359959602356,-6.046228885650635,
7,729,-0.2962496876716614,-5.998932838439941,
7,739,-0.2781592309474945,-5.995176315307617,
7,749,-0.30529171228408813,-6.004683017730713,
7,759,-0.28359586000442505,-6.038987636566162,
7,769,-0.2894839644432068,-6.036908149719238,
7,779,-0.28189617395401,-5.988234996795654,
7,783,,,-5.912224769592285
8,789,-0.2949104607105255,-5.998328685760498,
8,799,-0.2861195504665375,-5.978979587554932,
8,809,-0.273782879114151,-6.015266418457031,
8,819,-0.29745689034461975,-6.01271915435791,
8,829,-0.2793187201023102,-6.029451847076416,
8,839,-0.28174376487731934,-5.960177898406982,
8,849,-0.28321704268455505,-5.979001998901367,
8,859,-0.28969231247901917,-5.944097995758057,
8,869,-0.27377161383628845,-5.997346878051758,
8,879,-0.2691381871700287,-5.981375217437744,
8,881,,,-5.902375221252441
9,889,-0.27801012992858887,-6.013058185577393,
9,899,-0.29184088110923767,-5.995662689208984,
9,909,-0.2982814908027649,-6.0450119972229,
9,919,-0.28587862849235535,-6.0265679359436035,
9,929,-0.2783437669277191,-5.95952033996582,
9,939,-0.2669142484664917,-6.000526428222656,
9,949,-0.28858721256256104,-5.981309413909912,
9,959,-0.2781457304954529,-6.010220527648926,
9,969,-0.27705034613609314,-6.004910945892334,
9,979,-0.28234055638313293,-5.97670316696167,
9,979,,,-5.896686553955078
10,989,-0.26459354162216187,-5.975894451141357,
10,999,-0.293674111366272,-5.980376720428467,
10,1009,-0.30184048414230347,-5.974546909332275,
10,1019,-0.29894769191741943,-5.988729000091553,
10,1029,-0.29348334670066833,-5.987367153167725,
10,1039,-0.28760236501693726,-5.968983173370361,
10,1049,-0.2776149809360504,-6.014034271240234,
